declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
NY-KATHYHOCHUL-EO-47.21,NY,Kathy Hochul,47.21,extension,"Executive Order 47.21 extends the statewide disaster emergency to support safe and effective operations at correctional facilities through September 13, 2026.",2026-08-14,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4721-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-08/eo_47.21.pdf
NY-KATHYHOCHUL-EO-47.20,NY,Kathy Hochul,47.20,extension,"Declaring a continued need for a statewide disaster emergency order to support safe and effective operations at correctional facilities through August 16, 2026.",2026-07-17,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4720-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-07/eo-47.20.pdf
NY-KATHYHOCHUL-EO-47.19,NY,Kathy Hochul,47.19,extension,Declaring a continued need for a statewide disaster emergency order to support safe and effective operations at correctional facilities.,2026-06-18,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4719-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-06/eo_47.19.pdf
NY-KATHYHOCHUL-EO-47.18,NY,Kathy Hochul,47.18,extension,"Declares a continued need for a statewide disaster emergency order to support safe and effective operations at correctional facilities through June 21, 2026.",2026-05-22,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4718-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-05/eo_47.18.pdf
NY-KATHYHOCHUL-EO-47.17,NY,Kathy Hochul,47.17,extension,Declaring a Disaster Emergency in the State of New York and Ordering Into Active Service the New York National Guard to Assist Authorities in Guaranteeing Public Order and Protection of Public Property at Various Correctional Facilities,2026-04-24,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4717-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-04/eo_47.17.pdf
NY-KATHYHOCHUL-EO-47.16,NY,Kathy Hochul,47.16,extension,"Executive Order 47.16 extends the statewide disaster emergency to support safe and effective operations at correctional facilities through April 24, 2026.",2026-03-25,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4716-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-03/eo_47.16_0.pdf
NY-KATHYHOCHUL-EO-47.15,NY,Kathy Hochul,47.15,extension,"Executive Order 47.15 extends the statewide disaster emergency to support safe and effective operations at correctional facilities through March 25, 2026.",2026-02-23,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4715-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-02/eo_47.15.pdf
NY-KATHYHOCHUL-EO-47.14,NY,Kathy Hochul,47.14,extension,"Executive Order 47.14 extends the statewide disaster emergency to support safe and effective operations at correctional facilities through February 15, 2026.",2026-01-16,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4714-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2026-01/eo_47.14.pdf
NY-KATHYHOCHUL-EO-47.13,NY,Kathy Hochul,47.13,extension,"Executive Order 47.13 extends the statewide disaster emergency to support safe and effective operations at correctional facilities through January 18, 2026.",2025-12-19,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4713-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-12/eo_47.13.pdf
NY-KATHYHOCHUL-EO-47.12,NY,Kathy Hochul,47.12,extension,"Executive Order 47.16 extends the statewide disaster emergency to support safe and effective operations at correctional facilities through December 21, 2025.",2025-11-21,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4712-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-11/eo_47.12.pdf
NY-KATHYHOCHUL-EO-47.11,NY,Kathy Hochul,47.11,extension,Declaring a Disaster Emergency in the State of New York and Ordering Into Active Service the New York National Guard to Assist Authorities in Guaranteeing Public Order and Protection of Public Property at Various Correctional Facilities,2025-10-24,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4711-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-10/eo_47.11.pdf
NY-KATHYHOCHUL-EO-47.10,NY,Kathy Hochul,47.10,extension,"Executive Order 47.10 declares a statewide disaster emergency to support safe operations at correctional facilities through October 25, 2025.",2025-09-25,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-4710-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-09/eo_47.10.pdf
NY-KATHYHOCHUL-EO-47.9,NY,Kathy Hochul,47.9,extension,"Executive Order 47.8 declares a disaster emergency and orders the New York National Guard into service to assist authorities in guaranteeing public order at correctional facilities until September 25, 2025.",2025-08-26,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-479-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-08/eo_47.9.pdf
NY-KATHYHOCHUL-EO-47.8,NY,Kathy Hochul,47.8,extension,"Executive Order 47.8 declares a disaster emergency and orders the New York National Guard into service to assist authorities in guaranteeing public order at correctional facilities until August 28, 2025.",2025-07-29,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-478-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-07/eo_47.8.pdf
NY-KATHYHOCHUL-EO-47.7,NY,Kathy Hochul,47.7,extension,"Executive Order 47.7 declares a disaster emergency in the state of New York to support safe and effective operations at correctional facilities through July 31, 2025.",2025-07-01,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-477-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-07/eo_47.7.pdf
NY-KATHYHOCHUL-EO-47.6,NY,Kathy Hochul,47.6,extension,Executive order 47.6 declares a disaster emergency in the state of new york and orders into active service the new york national guard to assist authorities in guaranteeing public order and protection of public property at various correctional facilities.,2025-06-06,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-476-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-06/eo_47.6pdf.pdf
