eo_number,title,year,hazard_guess,is_original_weather_declaration,source_url
21-19,FURTHER CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/de698e7e6a/Executive-Order-21-19-Continuation-of-Health-Based-Provisions.pdf?language_id=1
21-20,THE NAMING OF STATE ROAD 26 IN DOWNTOWN RUSSIAVILLE AFTER JEFFREY A STOUT,2021,,False,https://www.in.gov/dA/4ee8e0e74a/Executive-Order-21-20-Renaming-Highway.pdf?language_id=1
21-21,ESTABLISHING THE GOVERNOR'S PUBLIC HEALTH COMMISSION,2021,,False,https://www.in.gov/dA/5861adf9a6/Executive-Order-21-21-Governors-Public-Health-Commission.pdf?language_id=1
21-22,EIGHTEENTH RENEWAL OF THE EMERGENCY DECLARATION,2021,,False,https://www.in.gov/dA/e6746ff2f5/Executive-Order-21-22-Eighteenth-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-23,LIMITED CONTINUATION OF PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID-19),2021,,False,https://www.in.gov/dA/0e08bdc504/Executive-Order-21-23-Lmtd-Cont-of-Health-Based-Provisions.pdf?language_id=1
21-24,FURTHER CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/560ade3e6c/Executive-Order-21-24-Health-Based-Provisions-Continued.pdf?language_id=1
21-25,RECEIPT OF THE 2020 DECENNIAL CENSUS RESULTS,2021,,False,https://www.in.gov/dA/a85b5ec354/EO-21-25-Census.pdf?language_id=1
21-26,NINETEENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID19 OUTBREAK,2021,,False,https://www.in.gov/dA/5e13b277c5/Executive-Order-21-26-Nineteenth-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-27,FURTHER CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/dc9070e34d/Executive-Order-21-27-Health-Based-Provisions-Continued.pdf?language_id=1
21-28,TWENTIETH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/5626d251a0/EO-21-28.pdf?language_id=1
21-29,FURTHER CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/c3d19698e9/EO-21-29.pdf?language_id=1
21-30,WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS TRANSPORTING PROPANE GAS,2021,,False,https://www.in.gov/dA/300bb8ff12/21-30-Executive-Order-Propane.pdf?language_id=1
21-31,TWENTY~FIRST RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/b0ab2c1223/EO-21-31.pdf?language_id=1
21-32,FURTHER CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/3600a97f18/EO-21-32.pdf?language_id=1
21-33,TWENTY~SECOND RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/113d19c099/Executive-Order-21-33-Twenty-second-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-34,FURTHER CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/94d99ab320/Executive-Order-21-34-Health-Based-Provisions-Continued.pdf?language_id=1
22-01,TWENTY~THIRD RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2022,,False,https://www.in.gov/dA/2ae3d1fb80/Executive-Order-22-01-Twenty-third-Renewal-of-Emergency-Declaration.pdf?language_id=1
22-02,FURTHER CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2022,,False,https://www.in.gov/dA/61154235fc/Executive-Order-22-02-Health-Based-Provisions-Continued.pdf?language_id=1
22-03,GRANT OF CLEMENCY FOR CHARLES CALHOUN,2022,,False,https://www.in.gov/dA/247bc03d00/Executive-Order-22-03-Calhoun-Clemency.pdf?language_id=1
22-04,GRANT OF CLEMENCY FOR ALPHONZO GRIFFIN,2022,,False,https://www.in.gov/dA/c7e93e90ea/Executive-Order-22-04-Griffin-Clemency.pdf?language_id=1
22-05,GRANT OF CLEMENCY FOR JEROME MACLIN,2022,,False,https://www.in.gov/dA/5275b119e1/Executive-Order-22-05-Maclin-Clemency.pdf?language_id=1
22-06,WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS TRANSPORTING COMPOSTING MATERIALS,2022,,False,https://www.in.gov/dA/60ff92951d/Executive-Order-22-06.pdf?language_id=1
22-07,FIRST AMENDMENT TO EXECUTIVE ORDER 22-06,2022,,False,https://www.in.gov/dA/f73295eb6c/Executive-Order-22-07.pdf?language_id=1
22-08,INDIANA'S RESPONSE TO RUSSIA'S UNJUST INVASION OF UKRAINE,2022,,False,https://www.in.gov/dA/230c786db0/Executive-Order-22-08.pdf?language_id=1
22-09,RECISSION OF COVID~19 PUBLIC HEALTH EMERGENCY DECLARATION & REMAINING PROVISIONS PERTAINING TO THE EMERGENCY,2022,,False,https://www.in.gov/dA/17f6af5fd1/EO-22-09.pdf?language_id=1
22-10,ENABLING THE NEXT LEVEL GOVERNMENT SERVICE BY IMPROVING THE STATE EMPLOYEE EXPERIENCE,2022,,False,https://www.in.gov/dA/188d8c0fc3/Executive-Order-22-10.pdf?language_id=1
22-11,EXTENSION OF EXECUTIVE ORDERS 22-06 & 22-07,2022,,False,https://www.in.gov/dA/43cdb06d49/Executive-Order-22-11.pdf?language_id=1
22-12,SPECIAL ELECTION,2022,,False,https://www.in.gov/dA/a48b6ad370/Executive-Order-22-12.pdf?language_id=1
22-13,SUSPENSION OF VAPOR PRESSURE REQUIREMENTS ON FUEL STANDARDS and WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS TRANSPORTING FUEL,2022,,False,https://www.in.gov/dA/f7c0df3418/Executive-Order-22-13-BP-Whiting.pdf?language_id=1
22-14,THE NAMING OF A PORTION OF STATE HIGHWAY 28,2022,,False,https://www.in.gov/dA/d7427fa833/Executive-Order-22-14-Gaithers.pdf?language_id=1
22-15,"DECLARATION OF DISASTER EMERGENCY FOR JEFFERSON, SWITZERLAND, AND OHIO COUNTIES DUE TO STORMS, TORRENTIAL RAINS & FLOODING",2022,flood,True,https://www.in.gov/dA/9ae404ee01/Executive-Order-22-15.pdf?language_id=1
23-1,GRANT OF CLEMENCY FOR TOMMY AISMAN,2023,,False,https://www.in.gov/dA/4c44a8e884/Executive-Order-23-01-Medical-Clemency-Alsman.pdf?language_id=1
24-1,WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS TRANSPORTING PROPANE GAS,2024,,False,https://www.in.gov/dA/e9abdf6987/EO-24-01.pdf?language_id=1
24-2,TEMPORARILY POSTPONING CERTAIN TECHNOLOGY REQUIREMENTS,2024,,False,https://www.in.gov/dA/0f44757ccf/Executive-Order-24-02.pdf?language_id=1
24-3,POSTPONING THE EXPIRATION OF CERTAIN ADMINISTRATIVE RULES,2024,,False,https://www.in.gov/dA/d6d1fd2353/Executive-Order-24-03-Postponing-Expiration-of-Certain-Rules.pdf?language_id=1
24-4,"DECLARING A DISASTER EMERGENCY IN DELAWARE, JEFFERSON, & RANDOLPH COUNTIES DUE TO SEVERE WEATHER & TORNADIC ACTIVITY",2024,severe_storm,True,https://www.in.gov/dA/a08137fc7b/EO-24-04.pdf?language_id=1
24-5,PREPARATION FOR THE TOTAL SOLAR ECLIPSE OF 2024,2024,,False,https://www.in.gov/dA/6d4d0bed40/EO-24-05.pdf?language_id=1
24-6,DECLARING A DISASTER EMERGENCY IN POSEY COUNTY DUE TO SEVERE AND TORNADIC ACTIVITY,2024,severe_storm,True,https://www.in.gov/dA/3c0ad56800/Executive-Order-24-06-Storm-Emergency-Declaration.pdf?language_id=1
24-7,DECLARING A DISASTER EMERGENCY DUE TO SEVERE AND TORNADIC ACTIVITY WITH WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS WORKING IN RESPONSE TO THE SEVERE WEATHER,2024,severe_storm,True,https://www.in.gov/dA/fee010b0cd/Executive-Order-24-07-Severe-Weather-Utility-Restoration.pdf?language_id=1
24-8,"DECLARING A DISASTER EMERGENCY IN GIBSON, POSEY & WARRICK COUNTIES DUE TO SEVERE WEATHER & TORNADIC ACTIVITY",2024,severe_storm,True,https://www.in.gov/dA/1621717ba9/Executive-Order-24-08-Storm-Emergency-Declaration.pdf?language_id=1
24-9,POSTPONING THE EXPIRATION OF CERTAIN ADMINISTRATION RULES,2024,,False,https://www.in.gov/dA/29d9df6e40/EO-24-09.pdf?language_id=1
