declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
MA-EO-392,MA,William Weld,392,administrative,To Establish a Massachusetts Municipal Police Accreditation Program,1996-10-17,,False,html,https://archives.lib.state.ma.us/entities/journalfile/718d478b-cbc4-40e5-bd18-1339ecd8d34f
MA-EO-391,MA,William Weld,391,administrative,Implementation of Presidential Initiative on Rural Economic Development,1996-08-22,,False,html,https://archives.lib.state.ma.us/entities/journalfile/26f641c0-3d11-48db-87ad-561064aa1b33
MA-EO-390,MA,William Weld,390,administrative,Establishing an Affirmative Market Program in Public Contracting,1996-08-06,2010-09-15,False,html,https://archives.lib.state.ma.us/entities/journalfile/35f43838-d62c-4255-9a48-2efb63f5cace
MA-EO-389,MA,William Weld,389,administrative,Establishing a Commission to Advise the Governor Relative to Further Measures to Reduce Father Absence and Support Families in the Commonwealth,1996-07-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/9b4e4d31-55d7-4135-b04d-19154ce2d9e1
MA-EO-388,MA,William Weld,388,administrative,Clean Alternative Fuel for the Massachusetts Fleet,1996-06-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/107131bd-f9fe-45fd-b934-bdebcf1e14c4
MA-EO-387,MA,William Weld,387,administrative,Mount Greylock Scenic Byway Designation,1996-06-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c307f3d7-d45a-4ee9-bed3-d568df584935
MA-EO-386,MA,William Weld,386,administrative,(Seaport Advisory Council),1996-05-29,,False,html,https://archives.lib.state.ma.us/entities/journalfile/431ab58a-adc9-4aa0-bd6a-5e09487a392c
MA-EO-385,MA,William Weld,385,administrative,Planning for Growth,1996-04-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/fbf698e0-10b3-4a6a-9b0b-68f74308dadf
MA-EO-384,MA,William Weld,384,administrative,To Reduce Unnecessary Regulatory Burden,1996-02-09,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e8d63518-831e-410d-92bb-fe6617c501e5
MA-EO-383,MA,William Weld,383,administrative,Revoking Unnecessary Executive Orders,1996-01-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f4c56585-69a2-4356-a867-b0f9bdd342a9
